Genome Name,Data could not be classified,Amikacin,Tobramycin,Gentamycin,Imipenem,Meropenam,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/sulfamethoxazole,Ampicillin/sulbactam,Colistin,polymyxin B,Tetracycline,Doxicycline ,Minocycline,
Acinetobacter baumannii strain MRSN15083,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15084,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15085,Possible XDR,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15086,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN1738,Possible XDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN1967,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN1971,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1973,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1980,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1987,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1988,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN1992,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN1998,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN2021,Possible MDR,NA,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN2024,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN2427,Possible MDR,Resistant,Resistant,NA,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN2441,Possible MDR,Resistant,Resistant,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,NA,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN2839,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN2840,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN3360,Possible MDR,Susceptible,Susceptible,Resistant,Resistant,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Susceptible,Susceptible,NA,Resistant,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN3547,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN3607,Possible XDR,Resistant,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN3851,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN4481,Possible XDR,Resistant,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7068,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7069,Possible MDR,Susceptible,Susceptible,NA,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7070,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7072,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7073,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7074,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7079,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7080,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,NA,Resistant,Susceptible,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7084,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7086,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7087,Possible MDR,Resistant,Susceptible,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7097,Possible MDR,NA,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7099,Possible MDR,Susceptible,NA,Resistant,NA,NA,NA,Susceptible,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7100,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7102,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7108,Possible XDR,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7111,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7114,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7116,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7117,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7118,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7119,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7122,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7124,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7125,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7126,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7128,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7129,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7130,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7132,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7133,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7134,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7137,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,NA,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7138,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7139,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7140,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7142,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7143,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7145,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7146,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7147,Possible MDR,Susceptible,NA,Resistant,NA,NA,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7149,Possible MDR,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7154,Possible MDR,Resistant,NA,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7155,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7156,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7157,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7158,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7159,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7160,Possible MDR,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7161,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7162,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7163,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7164,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7165,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7166,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7168,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7169,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7170,Possible MDR,NA,NA,NA,Susceptible,NA,Susceptible,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN7171,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7172,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN7173,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7175,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7181,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7183,Possible MDR,Resistant,Susceptible,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7184,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7185,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7186,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7189,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7202,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7206,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7208,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7209,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7211,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7212,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7214,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7216,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7217,Possible MDR,NA,NA,Resistant,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7219,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7220,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7221,Possible MDR,Susceptible,NA,Resistant,Susceptible,NA,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7222,Possible XDR,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7223,Possible MDR,Susceptible,NA,Resistant,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7224,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7226,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7227,Possible MDR,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7228,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7229,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7231,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7232,Possible XDR,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7234,Possible XDR,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7235,Possible XDR,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7236,Possible XDR,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7237,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
